scopeKind	name	qualifiedName	nestingDepth	parentScopeLinkHash	pyModuleLinkHash	ownerKind	ownerHash	isNested	isOptimized	hasChildren	symtableId	usesWildcardImport	isGenerator	isCoroutine	declaresGlobal	declaresNonlocal	filePath	startLine	startColumn	endLine	endColumn	scopeOrdinal	serviceVersionLinkHash	pyScopeUniqueHash
FUNCTION	local_passed_as_argument	services.consumer.local_passed_as_argument	1	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	PY_MODULE_774333793bea69d5a3272a3a6a444e6f	METHOD	PY_METHOD_9bfe8291c74f01115a62c5a09438cd61	false	true	false	6	false	false	false	false	false	services/consumer.py	37	0	39	50	5	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_82992e5329b24ebb7683a2a334e52b2b
FUNCTION	consume	services.consumer.consume	1	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	PY_MODULE_774333793bea69d5a3272a3a6a444e6f	METHOD	PY_METHOD_1ee49da1b04115f4f920851320ae83f0	false	true	false	7	false	false	false	false	false	services/consumer.py	42	0	44	23	6	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_d0ea1468c5ed07eba87ffa5bc60cc3c3
FUNCTION	attribute_chain_depth_three	services.consumer.attribute_chain_depth_three	1	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	PY_MODULE_774333793bea69d5a3272a3a6a444e6f	METHOD	PY_METHOD_c9011abaa6f762260b60df3c7a4a5383	false	true	false	8	false	false	false	false	false	services/consumer.py	47	0	49	46	7	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_4747c972dbab74c929b2e8645e086da9
MODULE	top	services.inheritance	0		PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	MODULE	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	false	false	true	0	false	false	false	false	false	services/inheritance.py	0	0	19	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_5253c6980abebba734c188cf7d78e831
CLASS	Tagged	services.inheritance.Tagged	1	PY_SCOPE_5253c6980abebba734c188cf7d78e831	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	TYPE	PY_TYPE_29dbf7f364098ccee10a7f6219a69f40	false	false	true	1	false	false	false	false	false	services/inheritance.py	5	0	13	66	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_6a879cd3c1e1a8f94d51f0704a3941c7
FUNCTION	label	services.inheritance.Tagged.label	2	PY_SCOPE_6a879cd3c1e1a8f94d51f0704a3941c7	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	METHOD	PY_METHOD_e02a565ade91c49cb03c1e386163139b	false	true	false	2	false	false	false	false	false	services/inheritance.py	6	4	7	57	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_5650478ce085143af2263dc943c35f1f
FUNCTION	describe	services.inheritance.Tagged.describe	2	PY_SCOPE_6a879cd3c1e1a8f94d51f0704a3941c7	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	METHOD	PY_METHOD_a56a6fce5741378568dd2b27346561c1	false	true	false	3	false	false	false	false	false	services/inheritance.py	9	4	10	75	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_3996261f7ade2ec2e1efe64739152063
FUNCTION	total	services.inheritance.Tagged.total	2	PY_SCOPE_6a879cd3c1e1a8f94d51f0704a3941c7	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	METHOD	PY_METHOD_27201ffe00b332a089d5a921b841ce9e	false	true	false	4	false	false	false	false	false	services/inheritance.py	12	4	13	66	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_7d189af6271ee6e2aea0e4dbb34cc74f
CLASS	DeepLeaf	services.inheritance.DeepLeaf	1	PY_SCOPE_5253c6980abebba734c188cf7d78e831	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	TYPE	PY_TYPE_fa48ec5ab50907cf209ac2b863a623cb	false	false	true	5	false	false	false	false	false	services/inheritance.py	16	0	18	71	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_eca242d6b6cb31d3fd5a6846e682903f
FUNCTION	label	services.inheritance.DeepLeaf.label	2	PY_SCOPE_eca242d6b6cb31d3fd5a6846e682903f	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	METHOD	PY_METHOD_3a89c21de61d1b96655170f7c31ef7c6	false	true	false	6	false	false	false	false	false	services/inheritance.py	17	4	18	71	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_c38cbf2a309caf948f6650cd0d3b4286
